Title,Country,Rating
Piłki z jajami,United States,5.4
Pijany mistrz,Hong Kong,7.4
Drishyam,India,8.3
Następny piątek,United States,6.1
Klątwa laleczki Chucky,United States/Canada,5.6
Podwójne uderzenie,United States,5.6
Głosy kobiet,United States,6.9
Śpioch,United States,7.1
Sufrażystka,United Kingdom/France,6.9
Powieście go wysoko,United States,7.0
The Prototype,Italy/United States/Argentina,2.3
Piątek trzynastego VIII: Jason zdobywa Manhattan,Canada/United States,4.5
The Loved Ones,Australia,6.6
"Roman J. Israel, Esq.",Canada/United Arab Emirates/United States,6.5
Przyjęcie,United States,7.4
Przodem do tyłu,United States,6.4
Flyboys - Bohaterska eskadra,United Kingdom/United States,6.5
Key Largo,United States,7.7
Spotkanie,United States,7.6
Ludzka stonoga 2,Netherlands,3.8
Dzieciak,United States,6.1
Więcej niż myślisz,United States,6.9
Dziewięć i pół tygodnia,United States,5.9
Plaga,United States,5.6
Pożegnanie z niewinnością,United States,6.9
Hazardzista,United States/United Kingdom/China/Sweden,6.2
Wielki Biały Ninja,United States,5.6
Kamdesh. Afgańskie piekło,United States,6.8
Radio,United States,6.9
Dwoje do poprawki,Canada/United States,6.3
Wszystko o Stevenie,United States,4.8
Czworo do pary,United States,7.0
Mężczyźni wolą blondynki,United States,7.1
Wymazać siebie,Australia/United States/China,6.9
Dear Zindagi,India,7.4
Mission Majnu,India,7.0
Baranek Shaun,United Kingdom/France,7.3
Zelig,United States,7.6
Głęboka czerwień,Italy,7.5
Wersy ulicy,India,7.9
Plaga wampirów,United States,6.4
Medalion,Hong Kong/United States,5.2
Król Nowego Jorku,Italy/United States,6.9
13,United States,6.0
Człowiek pogryzł psa,Belgium,7.4
Brick Mansions: Najlepszy z najlepszych,France/Canada/United States/Spain,5.6
Nasza Ameryka,Ireland/United Kingdom/United States,7.7
Stree,India,7.5
Drapieżcy,United Kingdom/Mexico/United States,6.9
Trzech tatuśków,United States,6.2
O Yeti!,United States/China/Japan,7.0
Mów mi Dave,United States,5.1
Tajemnica Marrowbone,Spain/United States,6.7
Zła edukacja,United States,7.1
Sklonowali Tyrone'a,United States,6.6
Gehraiyaan,India,5.8
Nigdzie,Spain,6.3
Miliony Brewstera,United States,6.5
Ludo,India,7.6
Piątek trzynastego VII: Nowa krew,United States,5.2
Jeździec wielorybów,New Zealand/Germany,7.5
Niewidoczni,United Kingdom/United States,7.2
Kochankowie,France/United States,7.0
Jak upolować faceta,United States,5.3
Dalkomhan insaeng,,7.5
Czarna owca,United States,6.2
OMG 2,India,7.5
Fala,Norway/Sweden,6.6
Wynajmij sobie chłopaka,United States,5.8
The Taking,United States,6.0
Wybawiciel,Denmark/United Kingdom/South Africa/Sweden/Belgium,6.7
Śnięty Mikołaj 3: Uciekający Mikołaj,United States/Canada,4.8
Stylistka,France/Germany/Belgium,6.1
Ojcostwo,Canada/United States,6.6
Ludzie jak my,United States/India,7.0
Mimi,India,7.8
Podejrzenie,United States,7.3
Pustka,Canada,5.9
Czarny rycerz,United States,4.9
Weird: The Al Yankovic Story,United States,6.8
Zaklinacz koni,United States,6.7
Sesje,United States,7.2
Gorzkie gody,United Kingdom/France,7.2
Policyjna opowieść,Hong Kong,7.5
Rings,United States,4.5
Rekin i Lava - Przygoda,United States,3.8
Pinokio,United States/United Kingdom,5.1
Zulu,United Kingdom,7.7
Żelazny rycerz,United Kingdom/Switzerland/United States/Germany,6.1
Nędznicy,United Kingdom/Germany/United States,7.4
Pod prąd,United States,7.3
W kręgu miłości,Belgium/Netherlands,7.7
Słomiany wdowiec,United States,7.1
Trzy sekundy,United Kingdom/Canada/United States,6.6
McFarland,United States,7.4
Celal ile Ceren,,3.2
Hababam Sinifi,,9.2
Host,United Kingdom,6.5
Potężne Kaczory 2,United States,6.1
"Kapitalizm, moja miłość",United States,7.4
Kraina tygrysów,Germany/United States,6.9
Teza,Spain,7.4
Na tropie zła,Germany/Canada/United States,7.1
Pociąg z forsą,United States,5.7
"Zgadnij, kim jestem?",Hong Kong,6.8
Wasabi - Hubert zawodowiec,France/Japan,6.6
Zbrodnie przyszłości,Canada/Greece/United Kingdom/France,5.8
Mała Stopa,United States,6.6
Jayeshbhai Jordaar,India,6.0
Halloween VI: Przekleństwo Michaela Myersa,United States,4.7
Żona,United Kingdom/Sweden/United States/Switzerland/Denmark,7.2
Poślubiłem morderczynię,United States,6.5
Gunman: Odkupienie,United States/Spain/United Kingdom/France,5.8
Spokojny człowiek,United States,7.7
Fair Play,United States,6.4
Nawiedzony dom,United Kingdom,7.4
Catfish,United States,7.1
Człowiek z Cold Rock,Canada/France,5.9
Rocky Aur Rani Kii Prem Kahaani,India,6.5
Wyścig,United States/Canada/Australia,4.6
W drodze,France/United States/United Kingdom/Mexico/Canada/Brazil/Argentina,6.0
Twarda laska,United States/Australia,5.9
Nie kupisz miłości,United States/Indonesia,6.8
Ukryta forteca,Japan,8.0
Wielki chłód,United States,7.1
Jej wysokość Afrodyta,United States,7.0
Sublokatorka,United States,6.4
Love & Mercy,United States,7.4
Koń wodny: Legenda głębin,United Kingdom/New Zealand/United States,6.4
Kostka,Canada,5.6
Synchronic,United States,6.2
Królowa XXX,United States,6.2
Olbrzym,United States,7.6
Wieczór kawalerski,United States,6.3
Mapy gwiazd,Canada/Germany/France/United States,6.2
Zabity na śmierć,United States,7.2
Męsko-damska rzecz,United States/United Kingdom/Canada,6.2
Single od dziecka,United States,6.1
Camp X-Ray,United States,6.9
Regression,Spain/Canada/United States,5.6
Ponad wszystko,United States,6.3
Słyszeliście o Morganach?,United States,4.9
Smoochy,United Kingdom/Germany/United States/Canada,6.3
Replikanci,United States/United Kingdom/China/Puerto Rico,5.5
Wesele Muriel,Australia/France,7.2
Droga do zapomnienia,Switzerland/United Kingdom/Australia/Thailand,7.1
Czasy ostateczne: Pozostawieni,United States/Canada/Japan/United Kingdom,3.1
Stone,United States,5.4
Tomiris,Kazakhstan,6.3
Wyznania,Japan,7.7
Głupi i głupszy 2: Kiedy Harry poznał Lloyda,United States,3.5
The Transformers: The Movie,United States/Japan,7.2
Uwikłany,United States,5.8
Przerwane objęcia,Spain/United Kingdom,7.2
Komornicy,United States,6.8
"Stulatek, który wyskoczył przez okno i zniknął",Sweden/Croatia/United States/Denmark/Netherlands,7.0
Pusty człowiek,United States/South Africa/France,6.2
The Lizzie McGuire Movie,United States,5.6
High Life,France/United Kingdom/Germany/Poland/United States,5.7
Zło,Sweden/Denmark,7.7
Szachowe dzieciństwo,United States,7.4
Smak życia,France/Spain,7.3
Piąta władza,United States/India/Belgium,6.2
"Kucharz, złodziej, jego żona i jej kochanek",Netherlands/United Kingdom/France,7.5
Bobby,United States,7.0
Złodziej,United States,7.4
Na lodzie,United States,7.2
Za drzwiami sypialni,United States,7.4
Hotel Transylwania: Transformania,United States,6.0
Piknik pod Wiszącą Skałą,Australia,7.4
Ghostland,Canada/France,6.4
Klątwa skorpiona,United States/Germany,6.7
Gallipoli,Australia,7.4
Koyaanisqatsi,United States,8.2
Braven,Canada/United States,5.9
Medicus,Germany,7.2
Ojciec panny młodej 2,United States,6.1
Jack Frost,United States,5.5
Strzały na Broadwayu,United States,7.4
Czas dla siebie,United States,5.1
Odmieńcy,United States/Canada,6.7
Żyć i umrzeć w Los Angeles,United States,7.3
Po rozum do mrówek,United States/Canada,5.8
Dhamaka,India/United States,6.7
Bez gwałtownych ruchów,United States,6.4
Do zaliczenia,United States,5.8
Symfonia życia,United States,7.3
Jutro będzie futro 2,United States,5.0
Kabir Singh,India,7.0
Emma,United Kingdom/United States,6.6
Dear Zachary: A Letter to a Son About His Father,United States,8.5
Oliver!,United Kingdom,7.4
Coco Chanel,France/Belgium,6.6
Strefa mroku,United States,6.4
Ucieczka z Planety Małp,United States,6.3
Eli,United States,5.8
777 Charlie,India,8.7
Mordercze kuleczki,United States,6.6
Godzilla,Japan,7.6
Ron Usterka,United States/United Kingdom/India,7.1
Transamerica,United States,7.3
Taran i magiczny kocioł,United States,6.3
ARQ,Canada/United States,6.3
Mordercze lato,United States,6.7
Zabójcza piękność,United States/Germany,6.7
Chopper,Australia,7.1
Uczeń szatana,United States/France/Canada,6.7
Narodziny,United Kingdom/Germany/United States,6.3
Mecz ostatniej szansy,United Kingdom/United States,6.4
Droga smoka,Hong Kong,7.2
Nyad,United States,7.1
Śmiertelny rejs,United States/Canada,6.1
Drishyam 2,India,8.4
Blisko,Belgium/Netherlands/France,7.8
Jaskinia,Germany/Australia/United States,5.2
"Wszystko, co zawsze chcieliście wiedzieć o seksie, ale baliście się zapytać",United States,6.7
Zwycięzca,Canada/Germany/France/United Kingdom/United States,7.1
Czarna owca,New Zealand,5.8
Jûbê ninpûchô,Japan,7.8
Anonimus,United Kingdom/Germany/United States,6.8
Astronauta,United States,5.7
Książę i ja,United States,5.9
Fantazja 2000,United States,7.1
Oficer Blart w Las Vegas,United States,4.5
Kłopoty z Harrym,United States,7.0
Nagi instynkt 2,United Kingdom/Germany/Spain/United States,4.4
Serce nie sługa,United States,6.2
Happy New Year,India,5.0
Bliscy nieznajomi,United Kingdom/United States,7.6
Amerykańskie ciacho,United States,5.8
Dom strachów,United States,6.3
Sanjuro - Samuraj znikąd,Japan,8.0
Romper Stomper,Australia,6.8
I że ci nie odpuszczę,United States,6.0
Artur i Minimki,France/United States/United Kingdom,6.0
Wyrzuć mamę z pociągu,United States,6.3
Północ w ogrodzie dobra i zła,United States,6.6
Trzy pogrzeby Melquiadesa Estrady,France/Mexico/United States,7.3
Hair,Germany/United States,7.5
Przyjaciele,United States/Canada,6.4
Antim: The Final Truth,India,6.1
Człowiek z przeszłością,United States,8.0
W lepszym świecie,Denmark/Sweden/Belgium/Germany,7.6
This Is It,United States,7.2
Peggy Sue wyszła za mąż,United States,6.4
Współlokatorka,United States,4.8
Pięć łatwych utworów,United States,7.4
U ciebie czy u mnie?,United States,5.7
Henry: portret seryjnego zabójcy,United States,7.0
Malcolm i Marie,United States,6.6
Narkotykowy kowboj,United States,7.2
Niedościgli Jonesowie,United States,6.4
Na śmierć i życie,United States,6.4
Cierń,United States,6.1
May,United States,6.6
Zemsta po latach,Canada,7.1
...I sprawiedliwość dla wszystkich,United States,7.4
Pająk,Canada/United Kingdom,6.7
Don,India,7.2
Scena zbrodni,United Kingdom/Denmark/Indonesia/Norway,8.2
Late Night,United States,6.5
Fanatyk,United States,7.1
Sztuka samoobrony,United States,6.6
Miłość i śmierć,United States,7.6
Morze Czarne,United Kingdom/United States,6.4
Van Gogh. U bram wieczności,Ireland/Switzerland/United Kingdom/France/United States,6.9
Życie.po.Życiu,United States,5.9
Detroit Rock City,United States,6.8
Jestem przy tobie,India,7.1
Śmierć na Nilu,United Kingdom,7.3
Kraina wiecznego szczęścia,United States,6.9
Lamb,Iceland/Sweden/Poland/United States,6.3
Świadek mimo woli,United States,6.8
"Nienawiść, którą dajesz",United States,7.5
Leo,Australia/United States,7.0
Annie,United States,5.4
Baraka,United States,8.5
Z dymkiem,United States,6.9
Gałki od łóżka i kije od miotły,United States,7.1
Tragedia Makbeta,United States,7.1
Pod ostrzałem,United States,6.2
Skowyt,United States,6.5
Tajemnica Andromedy,United States,7.2
Sierra Burgess jest przegrywem,United States,5.8
Ostatni dom po lewej,United States,5.8
Inaczej niż w raju,United States/Germany,7.4
Słodziak,United States,7.2
Hipnoza,United States/United Kingdom/Canada,5.5
Niewidzialny człowiek,United States,7.6
Łowca,Australia,6.7
Mustang,France/Germany/Qatar,7.6
Żar ciała,United States,7.4
83,India,7.5
Zabić drania,United States/France/United Kingdom,6.9
Posłańcy,Canada/United States,5.3
"Happy-Go-Lucky, czyli co nas uszczęśliwia",United Kingdom/United States,7.0
Podglądacz,United Kingdom,7.6
Tygrysy murawy,United States,5.6
Redukcja,United Kingdom/Germany/Hungary,6.4
Wyścig Armatniej Kuli,Hong Kong/United States,6.2
Braterstwo broni,,8.0
W mroku pod schodami,United States,6.4
Deadfall: W potrzasku,France/United States,6.2
"Droga do wyzwolenia: Scjentologia, Hollywood i pułapki wiary",United States,8.0
Alvin i wiewiórki 3,United States,4.4
Powstrzymać mrok,United States,5.7
Laski na gigancie,United States/Canada/China,6.2
Zamieć,United States/Canada/France,5.5
Looney Tunes znowu w akcji,Germany/United States,5.8
Córka prezydenta,United States/United Kingdom/Italy,6.1
Sztuka ścigania się w deszczu,United States,7.6
Spun,United States,6.7
Stracony weekend,United States,7.9
Człowiek Tai Chi,United States/China/Hong Kong,6.0
Stree 2: Sarkate Ka Aatank,India,6.9
Mordercza opona,France,5.7
Kłamstwo ma krótkie nogi,United States/Germany/France,5.5
Soul Kitchen,Germany/France/Italy,7.2
Uwiedziony,United States,6.0
Sekret wilczej gromady,Ireland/Luxembourg/France/China/United States,8.0
Turistas,United States,5.4
Maniac,France,6.1
We Are Your Friends,United Kingdom/France/United States,6.2
Oskarżeni,United States,7.1
Dziki cel,United Kingdom/France,6.7
Szklanką po łapkach,United States,5.3
Dziecko wojny,,8.0
Plan 9 from Outer Space,United States,3.9
Niewesołe miasteczko,United States,5.5
Czarownice z Salem,United States,6.8
Kisi Ka Bhai Kisi Ki Jaan,India,4.0
Koniec świata,France/Germany/United States,5.3
Najlepszy ojciec świata,United States,6.9
Drobne cwaniaczki,United States,6.7
Tom i Jerry,United States,5.3
Telefon pana Harrigana,United States,6.0
Doktor Hollywood,United States,6.3
Ghost in the Shell 2: Niewinność,Japan,7.4
After 2,United States,5.1
Sklep za rogiem,United States,8.0
Lwie serce,United States,6.2
Wszystkie jasne miejsca,United States,6.6
Vishwaroopam,India,7.9
Liczy się wnętrze,United States,6.6
Czerwone trzewiki,United Kingdom,8.1
Caddo Lake,United States,6.8
List w butelce,United States,6.3
Sztuki wyzwolone,United States,6.7
Dom osobliwości,Ireland,6.7
Astro Boy,Hong Kong/United States/Japan/United Kingdom,6.2
Wzgórze królików,United Kingdom/United States,7.5
"Powodzenia, Leo Grande",United Kingdom/United States,7.2
Od dziewiątej do piątej,United States,6.9
Licencja na miłość,United States/Australia,5.3
Kuloodporni,United States,5.8
Mama i ja,United States,5.8
Przygody Kubusia Puchatka,United States,7.5
Dzień Matki,United States,5.7
Critters,United States,6.1
Lokum,United States,5.7
C'mon C'mon,United States,7.4
John Dies at the End,United States,6.3
Kimi,United States,6.3
Dom Glassów,United States,5.8
Egzorcysta III,United States,6.5
Księga cieni: Blair Witch 2,United States,4.0
Wzgórza mają oczy,United States,6.3
Ojczym,United States,5.6
Chata,United States/Canada/Hong Kong,6.3
"A właśnie, że tak!",United States,5.6
96,India,8.5
Szczeniackie wojsko,United States,6.3
Baader-Meinhof,Germany/France/Morocco/United States,7.3
Hamlet,United Kingdom/United States,7.7
Egzorcysta: Początek,United Kingdom/France/Italy/Pakistan/United States,5.1
Pokusa,United States,5.7
Joe i wulkan,United States,5.9
JCVD,Belgium/Luxembourg/France,7.0
Wielka wyprawa muppetów,United Kingdom/United States,7.6
Elk*rtuk,Hungary,1.5
Uspiony obóz,United States,6.2
Znamię,Germany/United States,6.1
Madgaon Express,India,7.0
Dark Web: Usuń znajomego,United States,6.0
Ze względu na płeć,United States/China/Canada,7.1
Stan i Ollie,United Kingdom/Canada/United States,7.2
Pajęczyna,United States/Bulgaria,5.9
13 grzechów,United States,6.3
Dusza towarzystwa,United States,5.6
Cena prawdy,United States,7.1
355,United States/China,5.6
24 Hour Party People,United Kingdom/United States,7.3
Dzielny Despero,United Kingdom/United States,6.1
Szlachectwo zobowiązuje,United Kingdom,8.0
Wystrzałowe wesele,United States,5.5
Polubić czy poślubić,United States,6.1
English Vinglish,India,7.8
As w potrzasku,United States,8.1
Teksańska masakra piłą mechaniczną 2,United States,5.6
102 dalmatyńczyki,United States/United Kingdom/Monaco,4.9
Rocker,United States,6.2
33,Chile/Colombia/Spain/United States,6.9
The Kissing Booth 2,United Kingdom/United States,5.7
Kosiarz umysłów,United Kingdom/Japan,5.4
Holmes i Watson,United States/Canada,3.9
Shin Godzilla,Japan,6.8
Greta,Ireland/United States/Hong Kong/Canada,6.1
Oczy Tammy Faye,United States,6.6
Fitzcarraldo,Germany/Peru,8.0
Auron Mein Kahan Dum Tha,India,6.6
Zimne światło dnia,United States/Spain,4.9
Protegowana,United Kingdom/United States/Bulgaria/Romania,6.1
Stary Henry,United States,7.3
Promised Land,United States/United Arab Emirates,6.6
New Jack City,United States,6.6
Slender Man,United States,3.3
Kandahar,United States/Saudi Arabia,6.1
The Commitments,Ireland/United Kingdom/United States,7.6
Kiedy nikt nie patrzy,United States,6.1
Zombie express 2: Półwysep,,5.5
Hollywood - Wydział zabójstw,United States,5.3
Zaferin Rengi,,6.1
Aida,Bosnia and Herzegovina/Austria/Romania/Netherlands/Germany/Poland/France/Norway/Croatia/Sweden/Montenegro/Italy,8.0
Cedar Rapids,United States,6.3
Smoleńsk,Poland,1.2
Arif V 216,,6.9
Wszyscy mówią: kocham cię,United States,6.7
Młode strzelby II,United States,6.5
Czerwony żółw,France/Belgium/Japan/United States,7.5
Dilwale,India,5.1
Operacja Mincemeat,United Kingdom/United States,6.6
Mgła,United States/Canada,3.7
Varisu,India,5.9
Długie pożegnanie,United States,7.5
Zaginione,United States,6.5
Skok,Canada/United States,6.5
Listonosz,Italy/France/Belgium,7.8
Porwany,United States,5.9
Stare wygi,United States,5.3
Wszystko się wali,United States,5.6
Osmosis Jones,United States/Denmark,6.3
Ocaleni,United States/Canada,5.8
Ek Tha Tiger,India,5.7
Mandarynka,United States,7.1
Skrawki,United States,6.6
Odmienne stany świadomości,United States,6.9
Kaligula,Italy/United States,5.3
"O dziewczynie, która wraca nocą sama do domu",United States,6.9
Ostatnie wakacje,United States,6.6
Bajirao i Mastani,India,7.3
Telemania,,8.0
John Lennon. Chłopak znikąd,United Kingdom,7.1
Daje nam rok,United Kingdom/France/United States,5.7
Towarzysze broni,France,8.1
Droga do miasta,India,8.2
Siedmiu królów musi umrzeć,United Kingdom,6.9
Jailer,India,7.1
Zemsta,United States,6.8
Wojna światów,United States,7.0
Mersal,India,7.5
Paranoja,United States/India/France,5.6
Części intymne,United States,6.9
Greenberg,United States,6.1
Cherry: Niewinność utracona,United States/Morocco,6.6
Ostatnie dni na Marsie,United Kingdom/Ireland/Belgium/United States,5.5
Obrońca,Thailand/United States/Hong Kong/France/Australia,7.0
Prawdziwa zbrodnia,United States,6.6
Grease 2,United States,4.6
Tożsamość zdrajcy,Switzerland/United Kingdom/United States/France,6.3
The Order: Ciche braterstwo,United States/United Kingdom/Canada,6.8
Heavy Metal,United Kingdom/Canada/United States,6.6
Jesienna sonata,Germany/United Kingdom,8.1
Thuppakki,India,8.1
Yahsi Bati,,7.4
"Nie mów mamie, że niania nie żyje",United States,6.3
Szklany zamek,United States/Canada/Hong Kong,7.1
Olimpiada,United States,5.8
Lucia i seks,Spain/France,7.0
Anna i król,United States,6.7
Spotkanie,United States/Mexico,6.2
Horyzont. Rozdział 1,United States,6.7
Powrót do marzeń,Japan/United States,7.6
Pogrzebani,United States,7.1
Rec 3: Geneza,Spain,5.0
99 Homes,United States,7.1
Kill,India,7.5
Smak wiśni,France,7.7
Wyfrunięci,United States,6.6
Rumble Fish,United States,7.1
Nieznośna lekkość bytu,United States,7.2
I młodzi pozostaną,United Kingdom/New Zealand,8.2
Bunkier,United States/Germany/Canada/France,5.7
Mieć i nie mieć,United States,7.8
Cumali Ceber,,1.0
Antwone Fisher,United States,7.3
Talvar,India,8.1
Akademia policyjna 5: Misja w Miami Beach,United States,4.6
Chłopiec A,United Kingdom/United States,7.6
Sezon na zabijanie,United States/Belgium/Bulgaria,5.4
Sobowtór,Japan/United States,7.9
Sekret księgi z Kells,Ireland/Belgium/France/Luxembourg,7.5
Bankier,United States,7.3
"Goście, goście...",France,7.0
Dzika planeta,France,7.7
Muza i meduza,United States,2.0
Garść dynamitu,Italy,7.6
Platforma 2,Spain,4.9
Młoda i piękna,France,6.7
Gdybym tylko tu był,United States,6.6
Cake,United States,6.4
Teściowie poszukiwani,United States,5.4
Akademia Dobra i Zła,United States,5.9
Jug Jugg Jeeyo,India,6.1
Kai po che!,India,7.8
Dziewięć miesięcy,United States,5.5
Red Rocket,United States,7.1
Vettaiyan,India,7.0
Prawdziwy geniusz,United States,6.9
Jak to się robi w Chicago,United States/Netherlands,5.6
Richard mówi do widzenia,United States,6.7
Harry i Hendersonowie,United States,6.1
Wszyscy wiedzą,Spain/France/Italy/Argentina/Germany,6.9
Droga bez powrotu. Geneza,Germany/United States/United Kingdom/Serbia,5.6
Idol,United Kingdom/United States,6.9
Siła perswazji,United States,6.4
Jimmy Neutron: mały geniusz,United States/Australia,6.1
Dom śmierci,Germany/Canada/United States,2.1
Rodzina Savage,United States,7.1
Robak,United States/Germany,6.1
Barbarella,France/Italy,5.9
Mój przyjaciel szpieg,United States,6.4
Powiernik królowej,United Kingdom/United States/China,6.8
Badhaai ho,India,7.9
Dziennik cwaniaczka 2,United States/Canada/Japan,6.6
Kupiec wenecki,United Kingdom/Italy/Luxembourg/United States,7.0
Kleopatra,United States/Switzerland,7.0
Super 30,India,7.9
Bez pamięci,United States,5.7
Dym,Germany/Japan/United States,7.4
22 lipca,United States/Norway,6.8
Czekając na Joe,United Kingdom/United States,7.9
Podbój Planety Małp,United States,6.1
Serce w chmurach,United States/United Kingdom,6.8
Zapomniana bitwa,Netherlands/Belgium,7.1
Stalingrad,Germany,7.5
Samsara,United States/Indonesia/Singapore/Thailand/Kenya/Denmark/Brazil/Jordan/United Arab Emirates/Saudi Arabia/South Africa/Italy/Ghana/Egypt/China/Japan,8.4
Dziadek do orzechów i cztery królestwa,Canada/United States/United Kingdom,5.6
Bade Miyan Chote Miyan,India,3.7
Aeronauci,United Kingdom/United States,6.6
Mały wielki człowiek,United States,7.5
Mickey Niebieskie Oko,United Kingdom/United States,5.9
Bal maturalny,Canada/United States,4.0
Bez słowa,United Kingdom/Germany,5.5
Paan Singh Tomar,India,8.2
Bez baterii nie działa,United States,6.6
Jiro śni o sushi,United States,7.8
"Dobry, zły i zakręcony",,7.2
Mama na obcasach,United States,6.0
Bananowy czubek,United States,6.9
Love Story,United States,6.9
Padmaavat,India,7.1
Areszt domowy,New Zealand,6.7
Pierwsza strona,United States/Canada,7.1
Dziwna para,United States,7.6
Amerykańska zbrodnia,United States,7.2
20 000 mil podmorskiej żeglugi,United States,7.2
Piątek trzynastego IX: Jason idzie do piekła,United States,4.1
Dumplin',United States,6.5
Nowy,United States,5.8
W nurcie życia,United States,6.8
Kapitan Orgazmo,United States/Japan,6.1
Ślicznotki,United States,6.8
Szalony Piotruś,France/Italy,7.4
Shutter - Widmo,Thailand/Japan/United States,5.2
Witajcie w domku dla lalek,United States,7.4
Hop,United States/Japan/United Kingdom/Canada,5.4
Chłód w lipcu,United States/France,6.7
Gra o miłość,United States,6.6
Ale jazda!,Canada/United States,7.5
Omen II,United Kingdom/United States,6.2
Spice World,United Kingdom,3.7
Ip Man 4,Hong Kong/China,7.0
Dziennik sierżanta Fridaya,United States,6.0
Oto jest głowa zdrajcy,United Kingdom,7.7
Mroczne umysły,United States,5.7
Odkrycie,United States,6.2
Pływaczki,United Kingdom/United States,7.4
Przebudzenie dusz,United Kingdom,6.4
Niania i wielkie bum,United Kingdom/France/United States/Japan,6.1
Angry Birds 2 Film,Finland/United States/Australia/Canada/United Kingdom,6.4
Tora! Tora! Tora!,Japan/United States,7.5
Femme Fatale,France/Switzerland/United States,6.2
XIII poprawka,United States,8.2
Paraliż,United States,5.8
Endless Corridor,Lithuania,8.1
Słowik,Australia/Canada,7.3
Evita,United States,6.3
Szepty i krzyki,Sweden,7.9
Babskie wakacje,United States,4.7
Zajazd pod duchem,United States,5.5
Matki równoległe,Spain/France/United States,7.1
"Kocham cię, Beth Cooper",United States/Canada/United Kingdom,5.3
Oczy Julii,Spain/Mexico,6.7
My Old Ass,United Kingdom/Canada/United States,6.9
Następstwa,United States,7.0
Kronika świąteczna 2,United States,6.0
Tuż po weselu,Denmark/Sweden/United Kingdom/Norway,7.7
Nieposłuszne,Ireland/United Kingdom/United States/Belgium,6.6
Nagła śmierć,United States,5.9
Dopaść Cartera,United Kingdom,7.3
Tajemnica mojego sukcesu,United States,6.5
Co widać i słychać,United States,5.3
Dom otwarty,Canada/United States,3.3
Podpalaczka,United States,6.1
Cal do szczęścia,Canada/United States,7.7
Article 15,India,8.1
Rozpustnik,United Kingdom/Australia/United States,6.2
Powódź,United Kingdom/Denmark/France/Germany/Japan/United States,5.9
Długi postój na Park Avenue,United States,7.6
W blasku nocy,United States,6.6
Niefortunna przeprowadzka,United States,4.8
On the Rocks,United States,6.4
Vampire Hunter D: Żądza krwi,Japan/Hong Kong/United States,7.6
Piękny kraj,United Kingdom,7.6
Debiutant,United States,6.9
The King of Kong,United States,8.0
SexiPistols,France/Mexico/United States,5.7
Bij i wiej,United States,6.1
Muppety: Poza prawem,United States,6.4
Beast,India,5.2
Winchester. Dom duchów,Australia/United States,5.5
Shiva Baby,United States,7.1
Demony,United States,4.2
Manos - Ręce przeznaczenia,United States,1.7
Tylko instynkt,New Zealand,7.9
Syreny,United States,6.7
Amerykanin w Paryżu,United States,7.1
"Ty i ja, i wszyscy, których znamy",United States/United Kingdom,7.2
Efekt motyla 2,United States,4.5
Agent Cody Banks,United States/Canada,5.1
Węzeł śmierci,United States,6.5
Av Mevsimi,,7.4
Kumple,United States,6.4
Thelma,Norway/France/Denmark/Sweden,6.9
Rififi,France,8.1
Keith,United States,7.3
Between Two Ferns: Film,United States,6.1
Defendor,Canada/United States/United Kingdom,6.7
Dorwać Cartera,United States,5.2
Wszystkie odloty Cheyenne'a,Italy/France/Ireland,6.7
Maksymalne przyspieszenie,United States,5.4
Inkarnacja,United States,6.0
Mała księżniczka,United States,7.6
Eskadra 'Czerwone Ogony',United States,5.9
BloodRayne,Canada/Germany/United States,3.0
Wędrująca Ziemia,China,5.9
La Bamba,United States,6.9
Loving,United Kingdom/United States,7.0
Zaproszenie,United States/Hungary,5.3
Poziom -2,Canada/United States,5.9
Perswazje,United States,5.8
Nieznajomi: Ofiarowanie,United Kingdom/United States,5.3
Zgubiłam swoje ciało,France/United Kingdom/United States,7.5
Spacer w chmurach,United States/Mexico,6.7
Władca Pierścieni,United States/United Kingdom,6.2
Życie mniej zwyczajne,United Kingdom/United States,6.3
Dusiciel z Bostonu,United States,6.5
Idealne matki,Australia/France,6.2
Cam,United States,5.9
Powrót do szkoły,United States,6.7
Ryzykanci,Hong Kong/United States,4.8
Wielki mistrz,Hong Kong/China/France/Netherlands/United States,6.6
Słodki smak sukcesu,United States,8.0
Ostatni legion,United Kingdom/France/Slovakia/Tunisia/Italy/Bulgaria/United States,5.4
Mroczna dzielnica,United States/Canada,5.6
Dracula 2000,United States,4.9
Krull,United Kingdom/United States,6.1
Chłopaki z Jersey,United States,6.8
Manekin,United States/United Kingdom,6.0
Gry weselne,United Kingdom/Germany/United States,6.8
"Hiroszima, moja miłość",France/Japan,7.8
Ponniyin Selvan,India,7.6
W imieniu armii,United States,7.1
Wyspa Nim,United States,6.0
Podróże w czasie: najczęściej zadawane pytania,United Kingdom/United States,7.0
Monachium: W obliczu wojny,United Kingdom/United States,6.8
Cały ten zgiełk,United States,7.8
Stare grzechy mają długie cienie,Spain,7.2
1941,United States,5.8
Facet od WF-u,United States,5.2
Wojownicze Żółwie Ninja III,United States/Hong Kong/Japan/China,4.8
Słodkie jutro,Canada,7.4
Gdzie serce twoje,United States,6.7
Słodki drań,United States,7.2
"Do zobaczenia, chłopcy",France/Germany/Italy,8.0
Pogarda,France/Italy,7.4
Złote czasy radia,United States,7.4
Perspektywa,Canada/United States,6.3
Tanhaji: The Unsung Warrior,India,7.5
Cyrk,United States,8.1
Powrót do Howards End,United Kingdom/Japan/United States,7.4
